timestamp_emg,emg_data
1776861352.8946285,"[[-0.02480413]
 [-0.00516278]
 [-0.02374853]]"
1776861352.8946342,"[[-0.02714978]
 [-0.00704985]
 [-0.02489452]]"
1776861352.89467,"[[-0.02976624]
 [-0.00867173]
 [-0.02633122]]"
1776861352.894707,"[[-0.03258931]
 [-0.01198133]
 [-0.02578962]]"
1776861352.8947146,"[[-0.03445334]
 [-0.01544209]
 [-0.0240605 ]]"
1776861352.907558,"[[-0.03383413]
 [-0.01755143]
 [-0.02272801]]"
1776861352.9076617,"[[-0.03007913]
 [-0.01847807]
 [-0.02208436]]"
1776861352.9077208,"[[-0.02652838]
 [-0.01676262]
 [-0.022005  ]]"
1776861352.9077334,"[[-0.02672275]
 [-0.01119304]
 [-0.02179231]]"
1776861352.9077432,"[[-0.02779659]
 [-0.00422766]
 [-0.02059755]]"
1776861352.9077525,"[[-0.02650966]
 [ 0.0014542 ]
 [-0.01962856]]"
1776861352.9077826,"[[-0.02513189]
 [ 0.00492967]
 [-0.02048375]]"
1776861352.9077961,"[[-0.02596557]
 [ 0.00544527]
 [-0.02229235]]"
1776861352.9078054,"[[-0.02705066]
 [ 0.00364207]
 [-0.02344605]]"
1776861352.9078295,"[[-0.02615843]
 [ 0.0010385 ]
 [-0.02307446]]"
1776861352.907837,"[[-0.02448709]
 [-0.00222172]
 [-0.0211369 ]]"
1776861352.9078693,"[[-0.02387968]
 [-0.00514335]
 [-0.01966393]]"
1776861352.9078765,"[[-0.02444686]
 [-0.00552533]
 [-0.02087426]]"
1776861352.9078991,"[[-0.02542459]
 [-0.00381112]
 [-0.02356   ]]"
1776861352.9079058,"[[-0.0259659 ]
 [-0.00238618]
 [-0.02471739]]"
1776861352.9079306,"[[-0.02561588]
 [-0.00267862]
 [-0.02350212]]"
1776861352.9079385,"[[-0.02433769]
 [-0.005047  ]
 [-0.02193195]]"
1776861352.9079783,"[[-0.02228276]
 [-0.00833327]
 [-0.02228614]]"
1776861352.908015,"[[-0.0200464 ]
 [-0.01030144]
 [-0.02443227]]"
1776861352.9080417,"[[-0.01907663]
 [-0.01057493]
 [-0.02628423]]"
1776861352.9080486,"[[-0.02015103]
 [-0.01036814]
 [-0.02589688]]"
1776861352.9080753,"[[-0.0216701 ]
 [-0.00960961]
 [-0.02312362]]"
1776861352.908083,"[[-0.02178695]
 [-0.00768391]
 [-0.02028086]]"
1776861352.9081042,"[[-0.02078146]
 [-0.00500223]
 [-0.02022749]]"
