timestamp_emg,emg_data
1776861779.1063328,"[[-0.02552559]
 [-0.01861668]
 [-0.02027625]]"
1776861779.10651,"[[-0.02044094]
 [ 0.01102749]
 [-0.0266989 ]]"
1776861779.106541,"[[-0.02180191]
 [ 0.00947847]
 [-0.0275071 ]]"
1776861779.106562,"[[-0.02584865]
 [ 0.01020134]
 [-0.03001817]]"
1776861779.1065812,"[[-0.02598899]
 [ 0.01140722]
 [-0.02783817]]"
1776861779.1065974,"[[-0.0265157 ]
 [ 0.0027538 ]
 [-0.02411647]]"
1776861779.10674,"[[-0.02889337]
 [-0.00208132]
 [-0.02413547]]"
1776861779.1096973,"[[-0.04166829]
 [ 0.01049825]
 [-0.01579882]]"
1776861779.1097164,"[[-0.05517638]
 [-0.00355719]
 [-0.02281872]]"
1776861779.1097262,"[[-0.05653529]
 [-0.01515214]
 [-0.02711808]]"
1776861779.109746,"[[-0.04079651]
 [-0.04324587]
 [-0.02409077]]"
1776861779.109765,"[[-0.02125475]
 [-0.02808127]
 [-0.02440808]]"
1776861779.1098049,"[[-0.01688296]
 [-0.00593396]
 [-0.02237919]]"
1776861779.1098142,"[[-0.0157049 ]
 [-0.01086245]
 [-0.01228292]]"
1776861779.1098335,"[[-0.0098705 ]
 [-0.01196877]
 [-0.00801857]]"
1776861779.1098433,"[[-0.00762039]
 [-0.00763409]
 [-0.00704543]]"
1776861779.1098626,"[[-0.00900689]
 [ 0.0170394 ]
 [-0.01449544]]"
1776861779.109882,"[[-0.01326329]
 [ 0.00755279]
 [-0.01845831]]"
1776861779.109901,"[[-0.01972472]
 [-0.01169698]
 [-0.02051568]]"
1776861779.1099403,"[[-0.02473627]
 [-0.01233658]
 [-0.02586928]]"
1776861779.1099694,"[[-0.0261673 ]
 [-0.01544218]
 [-0.02778687]]"
1776861779.1099987,"[[-0.02823875]
 [ 0.00099823]
 [-0.02957037]]"
1776861779.1100178,"[[-0.02889568]
 [ 0.00176516]
 [-0.02624823]]"
1776861779.110039,"[[-0.02942184]
 [-0.00058984]
 [-0.02029852]]"
1776861779.1100588,"[[-0.02932594]
 [ 0.00870946]
 [-0.02303296]]"
1776861779.1100848,"[[-0.02663275]
 [ 0.0062145 ]
 [-0.02479809]]"
1776861779.110095,"[[-0.0276167 ]
 [ 0.00474511]
 [-0.02446618]]"
1776861779.1101146,"[[-0.02893622]
 [ 0.00169523]
 [-0.02147926]]"
1776861779.1101243,"[[-0.02965809]
 [-0.00048753]
 [-0.02362268]]"
1776861779.1101341,"[[-0.030345  ]
 [-0.0030549 ]
 [-0.02604767]]"
1776861779.110144,"[[-0.03080961]
 [-0.00499195]
 [-0.02566341]]"
1776861779.1101642,"[[-0.03523991]
 [-0.00691542]
 [-0.02509708]]"
1776861779.1101837,"[[-0.03415359]
 [-0.00812385]
 [-0.02469352]]"
1776861779.1101935,"[[-0.03134995]
 [-0.00810505]
 [-0.0238325 ]]"
1776861779.1102028,"[[-0.02905115]
 [-0.00863897]
 [-0.02168817]]"
1776861779.1102226,"[[-0.02483243]
 [-0.00787732]
 [-0.02125657]]"
1776861779.1102808,"[[-0.02501922]
 [-0.00066062]
 [-0.02306095]]"
1776861779.1102905,"[[-0.02622263]
 [-0.00351936]
 [-0.02144807]]"
1776861779.1104484,"[[-0.01814408]
 [ 0.02256679]
 [-0.02490259]]"
1776861779.110469,"[[-0.01917689]
 [ 0.01643546]
 [-0.0293448 ]]"
1776861779.11049,"[[-0.01642317]
 [ 0.00014977]
 [-0.02723713]]"
1776861779.1105106,"[[-0.01815178]
 [-0.01149881]
 [-0.02974896]]"
1776861779.1105406,"[[-0.01243223]
 [-0.02286151]
 [-0.02716238]]"
1776861779.1105802,"[[-0.01295872]
 [-0.00659534]
 [-0.01333911]]"
1776861779.110602,"[[-0.00879804]
 [-0.01202027]
 [-0.01751961]]"
1776861779.1106222,"[[-0.00890258]
 [ 0.00636122]
 [-0.0196513 ]]"
1776861779.1106324,"[[-0.01257683]
 [ 0.0041192 ]
 [-0.02345147]]"
1776861779.110653,"[[-0.01715829]
 [-0.0019499 ]
 [-0.02554245]]"
1776861779.110667,"[[-0.0212162 ]
 [-0.00253475]
 [-0.02438806]]"
1776861779.1107438,"[[-0.01978755]
 [ 0.00064801]
 [-0.02578267]]"
1776861779.11081,"[[-0.03870072]
 [ 0.00838128]
 [-0.02879801]]"
1776861779.110841,"[[-0.04064619]
 [-0.01900175]
 [-0.02879982]]"
1776861779.1108894,"[[-0.02085158]
 [-0.03611647]
 [-0.02505064]]"
1776861779.1109035,"[[-0.01392096]
 [-0.01919585]
 [-0.02404398]]"
1776861779.111088,"[[-0.02222131]
 [-0.0004221 ]
 [-0.02389542]]"
1776861779.1111279,"[[-0.02207273]
 [-0.00229493]
 [-0.01757827]]"
1776861779.11117,"[[-0.0242241 ]
 [-0.01129096]
 [-0.01724524]]"
1776861779.1111844,"[[-0.02435757]
 [-0.00292052]
 [-0.01576262]]"
1776861779.111222,"[[-0.02584476]
 [ 0.00135051]
 [-0.02512773]]"
1776861779.1112359,"[[-0.02339714]
 [ 0.00445074]
 [-0.02295173]]"
1776861779.1112669,"[[-0.02079218]
 [ 0.00766919]
 [-0.02448568]]"
