acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,acc_x_1,acc_y_1,acc_z_1,gyro_x_1,gyro_y_1,gyro_z_1,mag_x_1,mag_y_1,mag_z_1
0.06884765625,-0.9921875,-0.07666015625,-8.963415145874023,21.40243911743164,9.268292427062988,0.0,0.0,0.0,0.61083984375,-1.03466796875,0.10986328125,-208.41464233398438,18.841463088989258,89.14634704589844,0.0,0.0,0.0
0.0634765625,-0.99609375,-0.0703125,-8.109756469726562,18.292682647705078,8.658536911010742,0.0,0.0,0.0,0.59326171875,-1.06982421875,0.10888671875,-209.39024353027344,16.585365295410156,87.80487823486328,0.0,0.0,0.0
0.06103515625,-1.00244140625,-0.05908203125,-7.865853786468506,14.756097793579102,7.195122241973877,0.0,0.0,0.0,0.58447265625,-1.1064453125,0.09326171875,-210.97561645507812,12.987805366516113,86.03659057617188,0.0,0.0,0.0
0.07421875,-0.99853515625,-0.04638671875,-7.5,10.42682933807373,6.097560882568359,0.0,0.0,0.0,0.5830078125,-1.13818359375,0.0849609375,-211.89024353027344,10.42682933807373,84.39024353027344,0.0,0.0,0.0
0.095703125,-0.9873046875,-0.02294921875,-7.682927131652832,5.670732021331787,4.5731706619262695,0.0,0.0,0.0,0.59130859375,-1.15869140625,0.076171875,-211.4634246826172,10.0,84.20732116699219,0.0,0.0,0.0
0.130859375,-0.9775390625,-0.0107421875,-8.170731544494629,2.0731706619262695,3.0487804412841797,0.0,0.0,0.0,0.6142578125,-1.1748046875,0.07275390625,-209.26829528808594,10.12195110321045,83.29268646240234,0.0,0.0,0.0
0.1748046875,-0.97509765625,-0.0048828125,-10.243902206420898,0.12195122241973877,1.097561001777649,0.0,0.0,0.0,0.6240234375,-1.1865234375,0.068359375,-207.01220703125,9.817073822021484,82.25609588623047,0.0,0.0,0.0
0.22265625,-0.9794921875,-0.01171875,-11.463415145874023,-0.4878048896789551,-0.12195122241973877,0.0,0.0,0.0,0.64599609375,-1.203125,0.06201171875,-204.4512176513672,10.792683601379395,81.64634704589844,0.0,0.0,0.0
0.2421875,-0.98681640625,-0.01708984375,-13.963415145874023,-1.402438998222351,-3.2926828861236572,0.0,0.0,0.0,0.65380859375,-1.2275390625,0.0478515625,-200.36585998535156,15.12195110321045,80.67073059082031,0.0,0.0,0.0
0.27783203125,-1.0009765625,-0.03515625,-14.87804889678955,-2.195122003555298,-7.195122241973877,0.0,0.0,0.0,0.654296875,-1.24658203125,0.044921875,-195.79269409179688,19.573171615600586,78.71951293945312,0.0,0.0,0.0
0.29296875,-1.0087890625,-0.0615234375,-15.0,-0.5487805008888245,-11.463415145874023,0.0,0.0,0.0,0.6396484375,-1.2587890625,0.05078125,-190.4268341064453,20.85365867614746,76.70732116699219,0.0,0.0,0.0
0.29736328125,-0.9990234375,-0.08544921875,-14.87804889678955,4.146341323852539,-15.731707572937012,0.0,0.0,0.0,0.6298828125,-1.25634765625,0.0546875,-185.5487823486328,17.5,74.81707763671875,0.0,0.0,0.0
0.28076171875,-0.9794921875,-0.1162109375,-15.853658676147461,11.219511985778809,-20.0,0.0,0.0,0.0,0.62890625,-1.24169921875,0.052734375,-180.36585998535156,12.62195110321045,73.29268646240234,0.0,0.0,0.0
0.25244140625,-0.97021484375,-0.1416015625,-20.30487823486328,19.69512176513672,-23.475610733032227,0.0,0.0,0.0,0.6396484375,-1.2236328125,0.0556640625,-173.71951293945312,11.09756088256836,70.54878234863281,0.0,0.0,0.0
0.220703125,-0.98193359375,-0.15087890625,-26.89024543762207,26.64634132385254,-25.914634704589844,0.0,0.0,0.0,0.64599609375,-1.20751953125,0.06103515625,-166.28048706054688,11.280488014221191,66.6463394165039,0.0,0.0,0.0
0.1962890625,-0.99951171875,-0.1435546875,-31.707317352294922,27.5,-27.43902587890625,0.0,0.0,0.0,0.650390625,-1.19384765625,0.06982421875,-157.6829376220703,11.646341323852539,63.10975646972656,0.0,0.0,0.0
0.18359375,-1.01123046875,-0.13037109375,-33.17073059082031,22.317073822021484,-28.719512939453125,0.0,0.0,0.0,0.6455078125,-1.1748046875,0.064453125,-153.29269409179688,11.40243911743164,61.34146499633789,0.0,0.0,0.0
