a_bicep,a_tricep,a_difference
0.21583626473862538,1.0,-0.7841637352613746
0.2182582207376256,1.0,-0.7817417792623744
0.2206625483586376,1.0,-0.7793374516413624
0.22304903859620778,1.0,-0.7769509614037922
0.22541812938653275,1.0,-0.7745818706134673
0.22777048553936388,1.0,-0.7722295144606361
0.2301062514238643,1.0,-0.7698937485761357
0.23242482883245516,1.0,-0.7675751711675448
0.23472535443339054,1.0,-0.7652746455666095
0.2370072979114693,1.0,-0.7629927020885308
0.2392705380406969,1.0,-0.7607294619593031
0.24151509597438497,1.0,-0.758484904025615
0.24374097548117626,1.0,-0.7562590245188238
0.24594813832468276,1.0,-0.7540518616753172
0.24813657332567116,1.0,-0.7518634266743288
0.2503064832123548,1.0,-0.7496935167876452
0.2524584128518144,1.0,-0.7475415871481856
0.25459296170777257,1.0,-0.7454070382922274
0.2567100594594105,1.0,-0.7432899405405895
0.25880851526151516,1.0,-0.7411914847384848
0.2608865072198581,1.0,-0.7391134927801419
0.26294263793460293,1.0,-0.7370573620653971
0.2649764801848803,1.0,-0.7350235198151197
0.2669881527857432,1.0,-0.7330118472142568
0.26897760091232786,1.0,-0.7310223990876721
0.2709443254201362,1.0,-0.7290556745798638
0.2728876161715113,1.0,-0.7271123838284888
0.27480687887129157,1.0,-0.7251931211287084
0.27670162893391953,1.0,-0.7232983710660805
0.27857123970795145,1.0,-0.7214287602920486
0.280415017530438,1.0,-0.7195849824695619
0.2822327969190481,1.0,-0.7177672030809519
0.28402539844443764,1.0,-0.7159746015555624
0.285794518640361,1.0,-0.714205481359639
0.28754229102521184,1.0,-0.7124577089747881
0.28927061862809267,1.0,-0.7107293813719073
0.2909806268760004,1.0,-0.7090193731239995
0.2926727585376854,1.0,-0.7073272414623146
0.29434722543806313,1.0,-0.7056527745619369
0.2960042989377605,1.0,-0.7039957010622395
0.2976443726993604,1.0,-0.7023556273006396
0.2992678922952104,1.0,-0.7007321077047897
0.3008752968368254,1.0,-0.6991247031631747
0.3024670536719217,1.0,-0.6975329463280783
0.3040436691410746,1.0,-0.6959563308589254
0.3056056448210255,1.0,-0.6943943551789745
0.30715345613112277,1.0,-0.6928465438688772
0.3086874128868478,1.0,-0.6913125871131522
0.31020739045290774,1.0,-0.6897926095470923
0.31171297630914796,1.0,-0.688287023690852
0.3132040887020805,1.0,-0.6867959112979195
0.3146811363547881,1.0,-0.6853188636452119
0.3161444490761904,1.0,-0.6838555509238096
0.31759376835119074,1.0,-0.6824062316488093
0.3190284044316519,1.0,-0.6809715955683481
0.3204478913251744,1.0,-0.6795521086748255
0.32185236866560046,1.0,-0.6781476313343995
0.32324230482360994,1.0,-0.6767576951763901
0.32461805297806134,1.0,-0.6753819470219387
0.3259797722333305,1.0,-0.6740202277666695
0.32732757012218905,1.0,-0.672672429877811
0.3286616160018983,1.0,-0.6713383839981018
0.32998258884852555,1.0,-0.6700174111514745
0.3312921124587256,1.0,-0.6687078875412744
0.33259200383646237,1.0,-0.6674079961635376
0.3338830766768858,1.0,-0.6661169233231141
0.3351650606450328,1.0,-0.6648349393549672
0.3364372149264959,1.0,-0.6635627850735041
0.33769880241532346,1.0,-0.6623011975846765
0.338949345301861,1.0,-0.661050654698139
0.34018853359263124,1.0,-0.6598114664073688
0.3414159357775961,1.0,-0.6585840642224039
0.34263122066483653,1.0,-0.6573687793351635
0.34383474085910226,1.0,-0.6561652591408977
0.34502746331563927,1.0,-0.6549725366843607
0.3462103849029241,1.0,-0.6537896150970759
0.34738413508664645,1.0,-0.6526158649133535
0.34854890754607465,1.0,-0.6514510924539254
0.3497048276012039,1.0,-0.6502951723987961
0.3508524664163661,1.0,-0.6491475335836339
0.35199271507291024,1.0,-0.6480072849270897
0.35312605979921685,1.0,-0.6468739402007831
0.35425217569850687,1.0,-0.6457478243014931
0.3553700913794747,1.0,-0.6446299086205254
0.3564786666838931,1.0,-0.643521333316107
0.35757737875456347,1.0,-0.6424226212454365
0.35866681865702055,1.0,-0.6413331813429795
0.3597481919773061,1.0,-0.6402518080226939
0.36082244670521885,1.0,-0.6391775532947812
0.3618899170441773,1.0,-0.6381100829558227
0.3629504493730489,1.0,-0.6370495506269511
