Format Version,1.0,
Take Name,ExoTest2,
Capture Frame Rate,2000.00,
Export Frame Rate,200.00,
Capture Start Time,21 Apr 2026 14:55:38 +0200,
Total Frames In Take,2265,
Total Exported Frames,22650,
Coordinate Space,Local,
Device Name,Trigno 2801,
Device Type,0,
Device Channel Count,2,
Mocap Rate,200.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Bicep,Tricep
24,0.120000,243,-0.027940,-0.008680
24,0.120000,244,-0.029619,-0.017202
24,0.120000,245,-0.029143,-0.019281
24,0.120000,246,-0.028340,-0.016687
24,0.120000,247,-0.028938,-0.012524
24,0.120000,248,-0.029521,-0.006846
24,0.120000,249,-0.028194,-0.000993
25,0.125000,250,-0.026216,0.003696
25,0.125000,251,-0.026295,0.007800
25,0.125000,252,-0.027926,0.010193
25,0.125000,253,-0.027541,0.010011
25,0.125000,254,-0.027638,0.009895
25,0.125000,255,-0.028062,0.007905
25,0.125000,256,-0.026911,0.003155
25,0.125000,257,-0.025706,-0.002089
25,0.125000,258,-0.024424,-0.005098
25,0.125000,259,-0.023299,-0.001544
26,0.130000,260,-0.022174,0.004850
26,0.130000,261,-0.022758,0.007430
26,0.130000,262,-0.023640,0.005310
26,0.130000,263,-0.022505,0.002608
26,0.130000,264,-0.020844,0.000502
26,0.130000,265,-0.020628,-0.001526
26,0.130000,266,-0.021164,-0.002703
26,0.130000,267,-0.021344,-0.005077
26,0.130000,268,-0.022255,-0.010052
26,0.130000,269,-0.023123,-0.017475
27,0.135000,270,-0.026163,-0.023090
27,0.135000,271,-0.030435,-0.022809
27,0.135000,272,-0.029615,-0.016321
27,0.135000,273,-0.026831,-0.009123
27,0.135000,274,-0.026051,-0.006083
27,0.135000,275,-0.025469,-0.005222
27,0.135000,276,-0.026542,-0.002962
27,0.135000,277,-0.029409,0.000331
27,0.135000,278,-0.031295,0.002563
27,0.135000,279,-0.032532,0.001600
28,0.140000,280,-0.034128,-0.001971
28,0.140000,281,-0.035369,-0.004682
28,0.140000,282,-0.035389,-0.004210
28,0.140000,283,-0.035790,0.000002
28,0.140000,284,-0.035819,0.001706
28,0.140000,285,-0.035443,-0.001921
28,0.140000,286,-0.035340,-0.005109
28,0.140000,287,-0.035337,-0.003254
28,0.140000,288,-0.036578,0.000825
28,0.140000,289,-0.039514,0.002698
29,0.145000,290,-0.042248,0.001856
29,0.145000,291,-0.044558,-0.001160
29,0.145000,292,-0.044632,-0.005208
29,0.145000,293,-0.043141,-0.007570
29,0.145000,294,-0.043666,-0.007896
29,0.145000,295,-0.043838,-0.006916
29,0.145000,296,-0.041674,-0.005015
29,0.145000,297,-0.038973,-0.004189
29,0.145000,298,-0.036891,-0.003956
29,0.145000,299,-0.032511,-0.002589
30,0.150000,300,-0.027005,-0.001685
30,0.150000,301,-0.023891,-0.000861
30,0.150000,302,-0.022732,0.000148
30,0.150000,303,-0.023188,0.000138
30,0.150000,304,-0.023807,-0.000805
30,0.150000,305,-0.023274,-0.001993
30,0.150000,306,-0.021667,-0.004567
30,0.150000,307,-0.019348,-0.006627
30,0.150000,308,-0.016924,-0.006268
30,0.150000,309,-0.012462,-0.003863
31,0.155000,310,-0.009873,-0.004100
31,0.155000,311,-0.010132,-0.005035
31,0.155000,312,-0.011658,-0.004850
31,0.155000,313,-0.012992,-0.003851
31,0.155000,314,-0.011111,-0.002712
31,0.155000,315,-0.008519,-0.001960
31,0.155000,316,-0.008737,-0.001938
31,0.155000,317,-0.012409,-0.001984
31,0.155000,318,-0.014296,-0.000397
31,0.155000,319,-0.011366,0.001453
32,0.160000,320,-0.008570,0.000349
32,0.160000,321,-0.010185,-0.001937
32,0.160000,322,-0.014087,-0.002667
32,0.160000,323,-0.019900,-0.000810
32,0.160000,324,-0.022060,0.000042
32,0.160000,325,-0.022784,-0.001007
32,0.160000,326,-0.021824,-0.000617
32,0.160000,327,-0.019216,0.001169
32,0.160000,328,-0.017605,0.002927
32,0.160000,329,-0.018126,0.003201
33,0.165000,330,-0.018612,0.000998
33,0.165000,331,-0.017282,-0.002822
33,0.165000,332,-0.014664,-0.006314
33,0.165000,333,-0.010828,-0.006312
33,0.165000,334,-0.008738,-0.003757
33,0.165000,335,-0.009820,-0.003047
33,0.165000,336,-0.012227,-0.004024
33,0.165000,337,-0.014526,-0.003197
33,0.165000,338,-0.015422,-0.003454
33,0.165000,339,-0.015648,-0.005298
34,0.170000,340,-0.016061,-0.005908
34,0.170000,341,-0.015757,-0.004839
34,0.170000,342,-0.016368,-0.005082
34,0.170000,343,-0.018015,-0.006215
34,0.170000,344,-0.019440,-0.004620
34,0.170000,345,-0.019829,-0.003639
34,0.170000,346,-0.021641,-0.004061
34,0.170000,347,-0.023168,-0.003110
34,0.170000,348,-0.022713,-0.001657
34,0.170000,349,-0.021233,-0.003123
35,0.175000,350,-0.017964,-0.004994
35,0.175000,351,-0.014074,-0.003925
35,0.175000,352,-0.014094,-0.003078
35,0.175000,353,-0.017250,-0.003881
35,0.175000,354,-0.019723,-0.005920
35,0.175000,355,-0.020471,-0.006987
35,0.175000,356,-0.020942,-0.007037
35,0.175000,357,-0.021342,-0.007502
35,0.175000,358,-0.022766,-0.008032
35,0.175000,359,-0.026517,-0.008348
36,0.180000,360,-0.030015,-0.008777
36,0.180000,361,-0.031028,-0.010327
36,0.180000,362,-0.031027,-0.011192
36,0.180000,363,-0.030242,-0.009077
36,0.180000,364,-0.029584,-0.007212
36,0.180000,365,-0.028496,-0.007297
36,0.180000,366,-0.029637,-0.007565
36,0.180000,367,-0.031868,-0.006612
36,0.180000,368,-0.030646,-0.004542
36,0.180000,369,-0.027932,-0.002342
37,0.185000,370,-0.026314,-0.001757
37,0.185000,371,-0.026935,-0.002449
37,0.185000,372,-0.026945,-0.003069
37,0.185000,373,-0.023245,-0.003445
37,0.185000,374,-0.020048,-0.002700
37,0.185000,375,-0.019665,-0.001928
37,0.185000,376,-0.019290,-0.001839
37,0.185000,377,-0.021111,-0.001655
37,0.185000,378,-0.024159,-0.001058
37,0.185000,379,-0.025581,-0.002790
38,0.190000,380,-0.024728,-0.002261
38,0.190000,381,-0.023636,-0.001733
38,0.190000,382,-0.022874,-0.002250
38,0.190000,383,-0.022695,-0.002350
38,0.190000,384,-0.023138,-0.003186
38,0.190000,385,-0.024804,-0.004072
38,0.190000,386,-0.025325,-0.004313
38,0.190000,387,-0.022895,-0.005275
38,0.190000,388,-0.020421,-0.005256
38,0.190000,389,-0.020318,-0.003188
39,0.195000,390,-0.019621,-0.000342
39,0.195000,391,-0.017352,-0.000726
39,0.195000,392,-0.018135,-0.001614
39,0.195000,393,-0.020405,-0.001953
39,0.195000,394,-0.020129,-0.000243
39,0.195000,395,-0.018372,0.001956
39,0.195000,396,-0.017118,0.001323
39,0.195000,397,-0.018275,-0.000972
39,0.195000,398,-0.021727,-0.005097
39,0.195000,399,-0.027033,-0.008330
40,0.200000,400,-0.030711,-0.008325
40,0.200000,401,-0.031681,-0.007779
40,0.200000,402,-0.032298,-0.009360
40,0.200000,403,-0.034671,-0.010052
40,0.200000,404,-0.037406,-0.007824
40,0.200000,405,-0.037157,-0.005836
40,0.200000,406,-0.034234,-0.005387
40,0.200000,407,-0.031821,-0.004309
40,0.200000,408,-0.030587,-0.002858
40,0.200000,409,-0.029526,-0.002452
41,0.205000,410,-0.029427,-0.002694
41,0.205000,411,-0.031401,-0.001959
41,0.205000,412,-0.034396,-0.000459
41,0.205000,413,-0.035555,0.000288
41,0.205000,414,-0.035693,-0.001357
41,0.205000,415,-0.035204,-0.004412
41,0.205000,416,-0.031343,-0.003945
41,0.205000,417,-0.026046,-0.000340
41,0.205000,418,-0.024006,0.000369
41,0.205000,419,-0.024506,-0.001660
42,0.210000,420,-0.025323,-0.003932
42,0.210000,421,-0.025466,-0.005665
42,0.210000,422,-0.026154,-0.005884
42,0.210000,423,-0.027416,-0.004367
42,0.210000,424,-0.027842,-0.004392
42,0.210000,425,-0.026200,-0.006392
42,0.210000,426,-0.024541,-0.007888
42,0.210000,427,-0.024112,-0.008348
42,0.210000,428,-0.020439,-0.007984
42,0.210000,429,-0.016826,-0.007590
43,0.215000,430,-0.016268,-0.007554
43,0.215000,431,-0.017317,-0.006500
43,0.215000,432,-0.017775,-0.005261
43,0.215000,433,-0.019363,-0.005425
43,0.215000,434,-0.020035,-0.003857
43,0.215000,435,-0.018818,-0.003128
43,0.215000,436,-0.017437,-0.003628
43,0.215000,437,-0.016726,-0.003924
43,0.215000,438,-0.017549,-0.004646
43,0.215000,439,-0.018689,-0.004865
44,0.220000,440,-0.018079,-0.005105
44,0.220000,441,-0.017415,-0.005461
44,0.220000,442,-0.016705,-0.004972
44,0.220000,443,-0.017558,-0.003315
44,0.220000,444,-0.021628,-0.001182
44,0.220000,445,-0.023584,0.001135
44,0.220000,446,-0.022115,0.000453
44,0.220000,447,-0.020885,-0.000839
44,0.220000,448,-0.020315,-0.000641
44,0.220000,449,-0.020050,0.000326
45,0.225000,450,-0.019830,0.001621
45,0.225000,451,-0.019572,0.000881
45,0.225000,452,-0.020615,-0.001623
45,0.225000,453,-0.022447,-0.002519
45,0.225000,454,-0.022611,-0.002268
45,0.225000,455,-0.020461,-0.001911
45,0.225000,456,-0.019064,-0.002736
45,0.225000,457,-0.018016,-0.004951
45,0.225000,458,-0.017062,-0.004909
45,0.225000,459,-0.015761,-0.001224
46,0.230000,460,-0.013622,0.001517
46,0.230000,461,-0.011774,0.002971
46,0.230000,462,-0.013347,0.002303
46,0.230000,463,-0.016443,0.000353
46,0.230000,464,-0.017124,-0.001155
46,0.230000,465,-0.017377,-0.001331
46,0.230000,466,-0.019943,-0.001590
46,0.230000,467,-0.022463,-0.002559
46,0.230000,468,-0.023109,-0.003108
46,0.230000,469,-0.023607,-0.004049
47,0.235000,470,-0.023961,-0.004193
47,0.235000,471,-0.025690,-0.004199
47,0.235000,472,-0.026526,-0.005475
47,0.235000,473,-0.024050,-0.007083
47,0.235000,474,-0.020377,-0.008664
47,0.235000,475,-0.020998,-0.010043
47,0.235000,476,-0.021255,-0.009690
47,0.235000,477,-0.020022,-0.010349
47,0.235000,478,-0.020149,-0.010909
47,0.235000,479,-0.021843,-0.011109
48,0.240000,480,-0.025215,-0.011022
48,0.240000,481,-0.029381,-0.008434
48,0.240000,482,-0.030376,-0.006593
48,0.240000,483,-0.029345,-0.008314
48,0.240000,484,-0.028393,-0.008241
48,0.240000,485,-0.028409,-0.004803
48,0.240000,486,-0.029551,-0.002852
48,0.240000,487,-0.031241,-0.002855
48,0.240000,488,-0.032140,-0.002938
48,0.240000,489,-0.032400,-0.002967
49,0.245000,490,-0.031641,-0.002381
49,0.245000,491,-0.029669,-0.002505
49,0.245000,492,-0.028418,-0.003967
49,0.245000,493,-0.027888,-0.004869
49,0.245000,494,-0.026513,-0.004866
49,0.245000,495,-0.025759,-0.004869
49,0.245000,496,-0.024823,-0.003442
49,0.245000,497,-0.022198,-0.000710
49,0.245000,498,-0.020641,0.000506
49,0.245000,499,-0.019597,-0.001220
50,0.250000,500,-0.019011,-0.001750
50,0.250000,501,-0.019419,-0.001100
50,0.250000,502,-0.019702,-0.000840
50,0.250000,503,-0.018300,-0.001086
50,0.250000,504,-0.014942,-0.002105
50,0.250000,505,-0.014217,-0.002679
50,0.250000,506,-0.016589,-0.000934
50,0.250000,507,-0.018744,0.001062
50,0.250000,508,-0.017690,0.001510
