t_s,q_rad,q_des_rad,K,B,jerk,tau_Nm,ilc_ff_Nm,reward
16.568251371383667,0.0,0.1354698747479154,0.018372146046030796,-0.002712221647235455,0.0,-0.13766696526147865,0.0,0.5254658384693615
16.577269792556763,0.0,0.13532857586180247,0.018324367322651722,-0.004576681319538353,0.0,-0.13754881109436976,0.0,0.5256614685853248
16.58622980117798,-0.00019539871673667023,0.135187806125027,0.018345782879955138,-0.0032697293740737393,0.0,-0.13757784873104326,0.0,0.5255856807256046
16.59530520439148,0.0,0.1350475901072723,0.01825277678797091,-0.0036503943595661017,0.0,-0.13723448779963743,0.0,0.5260543557163979
16.605287075042725,0.0,0.13490794908584636,0.018213559945887966,-0.003925364025181777,0.0,-0.13709100915046787,0.0,0.526251531591339
16.616479635238647,0.0,0.13476840064009524,0.01816951826470365,-0.005172114187290145,0.0,-0.13698149743832821,0.0,0.52644986136163
16.624611854553223,0.0,0.13462854343188468,0.018139721339701657,-0.0035783857942709493,0.0,-0.13679197544988014,0.0,0.5266499250350442
16.63326358795166,0.0,0.13448878048118906,0.018106759938625244,-0.0026259953075437495,0.0,-0.1366369120047864,0.0,0.5268511557284501
16.64533567428589,0.0,0.13434945133069567,0.0180600332030648,-0.004442770985147556,0.0,-0.1365174275997123,0.0,0.5270530638326382
16.655311107635498,0.0,0.13421009087958527,0.018022897422344412,-0.004358151202263695,0.0,-0.1363691766924892,0.0,0.5272563243440278
16.66450071334839,0.0,0.13407029758461134,0.01798589032311985,-0.004232591241983105,0.0,-0.13621926361348427,0.0,0.5274615361486945
16.672279357910156,0.0,0.13392999857061547,0.017948541532633575,-0.0041557843561307,0.0,-0.13607020080485735,0.0,0.527668826312145
16.681625604629517,0.0,0.13378938869534515,0.017916706434214495,-0.002973632128684476,0.0,-0.13590467453858582,0.0,0.5278779254593349
16.689268350601196,0.0,0.13364911810095922,0.017882464836041688,-0.0022958052415839227,0.0,-0.13575635114384832,0.0,0.528087873219008
16.698262929916382,0.0,0.13350948524106807,0.017835195054527027,-0.004251763044567041,0.0,-0.13563139372247893,0.0,0.5282982155846456
16.709460973739624,0.0,0.13336999761581317,0.0177980171790904,-0.004215781309324171,0.0,-0.13548445701509648,0.0,0.5285096899055198
16.718735933303833,0.0,0.1332302357053004,0.017760808093505342,-0.004179240610379947,0.0,-0.13533703336937822,0.0,0.528722940894298
16.72726607322693,0.0,0.1330903384153529,0.017729339646967154,-0.0030015788072015066,0.0,-0.13517185170622809,0.0,0.5289377694450609
16.73626446723938,0.0,0.13295066901021613,0.017689643620469344,-0.0034803736701832554,0.0,-0.13503030249157455,0.0,0.5291536232242291
16.74648904800415,0.0,0.13281129733689828,0.017651308098506582,-0.003712107630990358,0.0,-0.13488794178433708,0.0,0.5293703933758855
16.75566840171814,0.0,0.13267204411411931,0.01761329037882817,-0.0038946944686825253,0.0,-0.13474550220100123,0.0,0.529588359418648
16.765233993530273,0.0,0.1325327481397874,0.01757580294953814,-0.0039773496003756665,0.0,-0.13460130541911391,0.0,0.5298077793985462
16.774850368499756,-0.00019539871673667023,0.13239327335835896,0.017590547392999947,-0.0040040466358853034,0.0,-0.1346584577600448,0.0,0.5297195205193723
16.783302783966064,0.0,0.13225376651969564,0.017507357663071505,-0.0028467005448274377,0.0,-0.13429617449863304,0.0,0.5302514321528764
16.793329000473022,0.0,0.1321143695106438,0.01746234456499884,-0.004444240185918557,0.0,-0.1341746205672727,0.0,0.530475221778835
16.804463863372803,0.0,0.1319747246270028,0.0174264217179956,-0.00422866013057933,0.0,-0.1340227719234239,0.0,0.5307008300260707
16.814875841140747,0.0,0.1318345346640553,0.017390055762277618,-0.004080321279676245,0.0,-0.13387228395322273,0.0,0.5309287562142644
16.82355785369873,0.0,0.1316940384250665,0.017358908716575392,-0.002885626276918436,0.0,-0.13370803625240565,0.0,0.5311586323128881
16.83221673965454,0.0,0.1315534568290768,0.01731439924128121,-0.004352196799731804,0.0,-0.13358462880358213,0.0,0.531390110097238
16.841097831726074,0.0,0.13141276218010936,0.017284026772577767,-0.0030090414014746986,0.0,-0.13341431560875602,0.0,0.5316232454675262
16.8505802154541,0.0,0.1312721790283396,0.01724538809756941,-0.0033238321202493696,0.0,-0.1332698960257079,0.0,0.5318576735763213
16.860230207443237,0.0,0.1311319160397072,0.017207869330829864,-0.003440512848382314,0.0,-0.13312456956261273,0.0,0.5320930468658731
16.869722604751587,0.0,0.1309919317370229,0.017170415130613216,-0.003566822899842562,0.0,-0.13297989577811056,0.0,0.5323294326524495
16.878315687179565,0.0,0.13085240817142813,0.01713870175679827,-0.002582911637156063,0.0,-0.1328257771613816,0.0,0.5325665189364309
16.887250900268555,0.0,0.13071350722363306,0.017095002799478676,-0.004023800494893171,0.0,-0.13269714831015317,0.0,0.5328040205244003
16.89778208732605,0.0,0.1305749264798713,0.01705926984321852,-0.0039044653895562807,0.0,-0.13254970054743878,0.0,0.5330424465467798
16.906461000442505,0.0,0.1304366231259412,0.01702900540859606,-0.002719362842979563,0.0,-0.1323909140739967,0.0,0.5332818681430086
16.914246320724487,0.0,0.13029901538829752,0.016991119406319435,-0.0030944228422085367,0.0,-0.1322489139286132,0.0,0.5335215527204502
16.923535585403442,0.0,0.1301622444190202,0.016954506227346466,-0.0032672895946784814,0.0,-0.1321075311575383,0.0,0.5337612368140106
16.932406187057495,0.0,0.130026428973774,0.016923494109319495,-0.002382746255356339,0.0,-0.13196149098770774,0.0,0.5340006904800855
16.941253185272217,0.0,0.12989166853686168,0.016880923540467937,-0.0038601567093175617,0.0,-0.13183376074753156,0.0,0.53423971295532
16.950353384017944,0.0,0.1297578242224795,0.016851850504063192,-0.0027069628338800243,0.0,-0.13168065285934036,0.0,0.5344785257976111
16.958736419677734,0.0,0.12962520659480972,0.016820578132067367,-0.0020616382318365194,0.0,-0.13154324086159508,0.0,0.5347165473454747
16.967480897903442,0.0,0.12949407532342477,0.016778649264978206,-0.00362101051363168,0.0,-0.13141350277345462,0.0,0.534953275021858
16.97657537460327,0.0,0.1293642189966492,0.01675024159470495,-0.0025626565302126997,0.0,-0.13126868890191673,0.0,0.5351890532724486
16.986687183380127,0.0,0.12923566426183608,0.016714995556392238,-0.0029389216300637253,0.0,-0.13113542969259484,0.0,0.5354237994658813
16.995216846466064,0.0,0.12910842475456766,0.016681152867959907,-0.0031103370924939386,0.0,-0.13100368955781636,0.0,0.5356574538965057
17.005630254745483,0.0,0.12898230598574562,0.01664813104366168,-0.0031826401951858567,0.0,-0.13087252221733564,0.0,0.5358903417585003
17.013312578201294,0.0,0.12885735298600645,0.016620252002503142,-0.002297873462612421,0.0,-0.13073904255154825,0.0,0.5361223502864352
17.024311304092407,0.0,0.12873360731314168,0.01658182072499073,-0.003581306994841918,0.0,-0.13061772529279814,0.0,0.5363533714237033
