Optimizer 6,EMG to q_d,Optimizer 1,Optimizer 2,Optimizer 3,Optimizer 4,Optimizer 5,pDMP coupled,pDMP omega,pDMP
0.0559596813332063,182.01708096299285,1.992731757383126,7.993724793209367,1.9862680389337584,0.8662275341464465,0.5333058439305205,25.86824310313318,48.097035243444,48.77705706007873
0.0558832979891121,177.84304340295876,1.990546838470664,7.972739801687112,1.9841204235149237,0.8656666494744059,0.5325948571055505,25.93399717198963,48.00976283192426,48.59833602210984
0.0558069146450179,173.42106617412867,1.988313513834328,7.95168597633733,1.981929731442733,0.8650782312713545,0.53188564663742,25.99812143344593,47.92017582744279,48.4186397642361
0.0557291990332942,168.6438475534402,1.986023345779131,7.930536671807431,1.9796870809329905,0.8644600590912432,0.5311773243477091,26.060486213452805,47.8281760862842,48.23797183917122
0.0556505952431507,163.4742317069282,1.9836678966100865,7.909264354566403,1.977386698825967,0.8638103565772326,0.5304707784148377,26.120944518481792,47.733655694770505,48.05633935234255
0.0555728796314269,157.9683768238027,1.9812405049890456,7.887841935172446,1.975023256051145,0.863125126926434,0.5297660088388056,26.179372003554136,47.63652539097052,47.87374940917744
0.0554951640197032,152.24321558982012,1.9787358418454917,7.866253426414005,1.9725878708243272,0.8624003733359586,0.5290616833519834,26.23568917670127,47.53673588098195,47.69020911510325
0.0554165602295597,146.41861456610172,1.976151242644164,7.844493055131352,1.970076546342625,0.861635207627387,0.5283578019543711,26.28986051078641,47.43428316800191,47.50572912826101
0.0553366241717867,140.5769838314086,1.9734875955634836,7.822558156789228,1.9674892826060384,0.8608309620683485,0.5276552528243883,26.34187845629299,47.32919300920457,47.32031122500757
0.0552562440248038,134.75874172108604,1.9707449006034492,7.800450951833682,1.9648243032577284,0.8599880807480531,0.5269544800512449,26.39174967455915,47.22150181990514,47.13396073441345
0.055175863877821,128.978006497249,1.967923157764062,7.778174548889183,1.9620816082976944,0.859105675488081,0.5262541513673114,26.43949015279645,47.1112491240433,46.9466936436902
